date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:12:45	29271/29271	---M--	200	added ('OK')	text/css	etag:%22607822d8-7257%22	https://www.process.org/discept/wp-includes/css/dist/block-library/style.min.css?ver=5.2.17	C:/PROCESS/PROCESS/www.process.org/discept/wp-includes/css/dist/block-library/style.min35eb.css	(from https://www.process.org/discept/)
06:12:45	339375/339375	---MCZ	200	added ('OK')	application/rss+xml	etag:%22106aa96ef923a7f83005504e48a57737-gzip%22	https://www.process.org/discept/feed/	C:/PROCESS/PROCESS/www.process.org/discept/feed/index.html	(from https://www.process.org/discept/)
06:12:45	23105/23105	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:27%20GMT	https://www.process.org/discept/2016/02/	C:/PROCESS/PROCESS/www.process.org/discept/2016/02/index.html	(from https://www.process.org/discept/)
06:12:46	22436/22436	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:28%20GMT	https://www.process.org/discept/2015/01/	C:/PROCESS/PROCESS/www.process.org/discept/2015/01/index.html	(from https://www.process.org/discept/)
06:12:46	2708/2708	---M--	200	added ('OK')	text/css	etag:%225da65746-a94%22	https://www.process.org/discept/wp-content/plugins/wp-polls/polls-css.css?ver=2.75.2	C:/PROCESS/PROCESS/www.process.org/discept/wp-content/plugins/wp-polls/polls-css6f8a.css	(from https://www.process.org/discept/)
06:12:46	22819/22819	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:28%20GMT	https://www.process.org/discept/2013/11/	C:/PROCESS/PROCESS/www.process.org/discept/2013/11/index.html	(from https://www.process.org/discept/)
06:12:46	22471/22471	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:28%20GMT	https://www.process.org/discept/2013/07/	C:/PROCESS/PROCESS/www.process.org/discept/2013/07/index.html	(from https://www.process.org/discept/)
06:12:47	21337/21337	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:29%20GMT	https://www.process.org/discept/2013/06/	C:/PROCESS/PROCESS/www.process.org/discept/2013/06/index.html	(from https://www.process.org/discept/)
06:12:47	91/91	---M--	200	added ('OK')	image/gif	etag:%225b-594fb693c43c9%22	https://www.process.org/discept/wp-content/plugins/wp-polls/images/default_gradient/pollbg.gif	C:/PROCESS/PROCESS/www.process.org/discept/wp-content/plugins/wp-polls/images/default_gradient/pollbg.gif	(from https://www.process.org/discept/)
06:12:47	344368/344368	---MC-	200	added ('OK')	application/atom+xml	etag:%22106aa96ef923a7f83005504e48a57737%22	https://www.process.org/discept/feed/atom/	C:/PROCESS/PROCESS/www.process.org/discept/feed/atom/index.html	(from https://www.process.org/discept/)
06:12:47	22522/22522	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:29%20GMT	https://www.process.org/discept/2013/05/	C:/PROCESS/PROCESS/www.process.org/discept/2013/05/index.html	(from https://www.process.org/discept/)
06:12:47	22094/22094	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:29%20GMT	https://www.process.org/discept/2012/10/	C:/PROCESS/PROCESS/www.process.org/discept/2012/10/index.html	(from https://www.process.org/discept/)
06:12:47	23506/23506	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:30%20GMT	https://www.process.org/discept/2012/07/	C:/PROCESS/PROCESS/www.process.org/discept/2012/07/index.html	(from https://www.process.org/discept/)
06:12:48	1742/1742	---M--	200	added ('OK')	text/css	etag:%225da65743-6ce%22	https://www.process.org/discept/wp-content/plugins/wp-to-twitter/css/twitter-feed.css?ver=5.2.17	C:/PROCESS/PROCESS/www.process.org/discept/wp-content/plugins/wp-to-twitter/css/twitter-feed35eb.css	(from https://www.process.org/discept/)
06:12:48	21102/21102	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:30%20GMT	https://www.process.org/discept/2011/11/	C:/PROCESS/PROCESS/www.process.org/discept/2011/11/index.html	(from https://www.process.org/discept/)
06:12:48	21979/21979	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:30%20GMT	https://www.process.org/discept/2012/02/	C:/PROCESS/PROCESS/www.process.org/discept/2012/02/index.html	(from https://www.process.org/discept/)
06:12:49	21588/21588	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:30%20GMT	https://www.process.org/discept/2011/02/	C:/PROCESS/PROCESS/www.process.org/discept/2011/02/index.html	(from https://www.process.org/discept/)
06:12:49	23984/23984	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:31%20GMT	https://www.process.org/discept/2010/11/	C:/PROCESS/PROCESS/www.process.org/discept/2010/11/index.html	(from https://www.process.org/discept/)
06:12:49	96873/96873	---M--	200	added ('OK')	application/javascript	etag:%225d70f196-17a69%22	https://www.process.org/discept/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/PROCESS/PROCESS/www.process.org/discept/wp-includes/js/jquery/jquery4a5f.js	(from https://www.process.org/discept/)
06:12:50	21267/21267	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:31%20GMT	https://www.process.org/discept/2010/10/	C:/PROCESS/PROCESS/www.process.org/discept/2010/10/index.html	(from https://www.process.org/discept/)
06:12:50	20956/20956	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:31%20GMT	https://www.process.org/discept/2010/03/	C:/PROCESS/PROCESS/www.process.org/discept/2010/03/index.html	(from https://www.process.org/discept/)
06:12:50	22712/22712	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:31%20GMT	https://www.process.org/discept/2010/02/	C:/PROCESS/PROCESS/www.process.org/discept/2010/02/index.html	(from https://www.process.org/discept/)
06:12:50	21736/21736	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:32%20GMT	https://www.process.org/discept/2010/01/	C:/PROCESS/PROCESS/www.process.org/discept/2010/01/index.html	(from https://www.process.org/discept/)
06:12:50	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%22587e673c-2748%22	https://www.process.org/discept/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/PROCESS/PROCESS/www.process.org/discept/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://www.process.org/discept/)
06:12:51	24524/24524	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:33%20GMT	https://www.process.org/discept/2009/10/	C:/PROCESS/PROCESS/www.process.org/discept/2009/10/index.html	(from https://www.process.org/discept/)
06:12:51	22431/22431	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:33%20GMT	https://www.process.org/discept/2009/11/	C:/PROCESS/PROCESS/www.process.org/discept/2009/11/index.html	(from https://www.process.org/discept/)
06:12:51	24781/24781	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:33%20GMT	https://www.process.org/discept/2009/08/	C:/PROCESS/PROCESS/www.process.org/discept/2009/08/index.html	(from https://www.process.org/discept/)
06:12:51	852/852	---M-Z	200	added ('OK')	text/xml	date:Fri,%2011%20Nov%202022%2006:11:33%20GMT	https://www.process.org/discept/xmlrpc.php?rsd	C:/PROCESS/PROCESS/www.process.org/discept/xmlrpc0db0.php	(from https://www.process.org/discept/)
06:12:51	24635/24635	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:33%20GMT	https://www.process.org/discept/2009/05/	C:/PROCESS/PROCESS/www.process.org/discept/2009/05/index.html	(from https://www.process.org/discept/)
06:12:52	23106/23106	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:34%20GMT	https://www.process.org/discept/2009/02/	C:/PROCESS/PROCESS/www.process.org/discept/2009/02/index.html	(from https://www.process.org/discept/)
06:12:52	25173/25173	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:34%20GMT	https://www.process.org/discept/2009/04/	C:/PROCESS/PROCESS/www.process.org/discept/2009/04/index.html	(from https://www.process.org/discept/)
06:12:52	1045/1045	---M--	200	added ('OK')	application/xml	etag:%2252b5f8f2-415%22	https://www.process.org/discept/wp-includes/wlwmanifest.xml	C:/PROCESS/PROCESS/www.process.org/discept/wp-includes/wlwmanifest.xml	(from https://www.process.org/discept/)
06:12:52	23540/23540	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:34%20GMT	https://www.process.org/discept/2008/12/	C:/PROCESS/PROCESS/www.process.org/discept/2008/12/index.html	(from https://www.process.org/discept/)
06:12:52	21287/21287	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:34%20GMT	https://www.process.org/discept/2008/10/	C:/PROCESS/PROCESS/www.process.org/discept/2008/10/index.html	(from https://www.process.org/discept/)
06:12:53	22973/22973	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:35%20GMT	https://www.process.org/discept/2008/08/	C:/PROCESS/PROCESS/www.process.org/discept/2008/08/index.html	(from https://www.process.org/discept/)
06:12:53	21825/21825	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:35%20GMT	https://www.process.org/discept/2008/07/	C:/PROCESS/PROCESS/www.process.org/discept/2008/07/index.html	(from https://www.process.org/discept/)
06:12:53	20645/20645	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:35%20GMT	https://www.process.org/discept/2008/06/	C:/PROCESS/PROCESS/www.process.org/discept/2008/06/index.html	(from https://www.process.org/discept/)
06:12:53	2354/2354	---M--	200	added ('OK')	application/javascript	etag:%224f58dd1e-932%22	https://www.process.org/discept/wp-content/plugins/quicktime-embed/qtobject.js	C:/PROCESS/PROCESS/www.process.org/discept/wp-content/plugins/quicktime-embed/qtobject.js	(from https://www.process.org/discept/)
06:12:54	20806/20806	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:36%20GMT	https://www.process.org/discept/2008/03/	C:/PROCESS/PROCESS/www.process.org/discept/2008/03/index.html	(from https://www.process.org/discept/)
06:12:54	22845/22845	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:36%20GMT	https://www.process.org/discept/2008/04/	C:/PROCESS/PROCESS/www.process.org/discept/2008/04/index.html	(from https://www.process.org/discept/)
06:12:54	11421/11421	---M--	200	added ('OK')	text/css	etag:%2254adc250-2c9d%22	https://www.process.org/discept/wp-content/themes/winter-styled-10/style.css	C:/PROCESS/PROCESS/www.process.org/discept/wp-content/themes/winter-styled-10/style.css	(from https://www.process.org/discept/)
06:12:55	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Nov%202022%2006:11:37%20GMT	http://www.process.org/discept/wp-content/uploads/2016/02/1967b210e87b887c9e2a1349ad2bf830.jpg	C:/PROCESS/PROCESS/www.process.org/discept/wp-content/uploads/2016/02/1967b210e87b887c9e2a1349ad2bf830.13.delayed	(from https://www.process.org/discept/)
06:12:55	23992/23992	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:36%20GMT	https://www.process.org/discept/2008/02/	C:/PROCESS/PROCESS/www.process.org/discept/2008/02/index.html	(from https://www.process.org/discept/)
06:12:55	24256/24256	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:37%20GMT	https://www.process.org/discept/2007/12/	C:/PROCESS/PROCESS/www.process.org/discept/2007/12/index.html	(from https://www.process.org/discept/)
06:12:55	33448/33448	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:36%20GMT	https://www.process.org/discept/2008/01/	C:/PROCESS/PROCESS/www.process.org/discept/2008/01/index.html	(from https://www.process.org/discept/)
06:12:56	25877/25877	---M--	200	added ('OK')	image/jpeg	etag:%2256b5387e-6515%22	https://www.process.org/discept/wp-content/uploads/2016/02/1967b210e87b887c9e2a1349ad2bf830.jpg	C:/PROCESS/PROCESS/www.process.org/discept/wp-content/uploads/2016/02/1967b210e87b887c9e2a1349ad2bf830.jpg	(from https://www.process.org/discept/)
06:12:56	75859/75859	---MC-	200	added ('OK')	application/json	date:Fri,%2011%20Nov%202022%2006:11:38%20GMT	https://www.process.org/discept/wp-json/	C:/PROCESS/PROCESS/www.process.org/discept/wp-json/index.html	(from https://www.process.org/discept/)
06:12:56	16108/16108	---M-Z	200	added ('OK')	application/rss+xml	etag:%223771377e312c51e7feac858a67b03a35-gzip%22	https://www.process.org/discept/comments/feed/	C:/PROCESS/PROCESS/www.process.org/discept/comments/feed/index.html	(from https://www.process.org/discept/)
06:12:59	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Nov%202022%2006:11:41%20GMT	http://www.process.org/discept/wp-content/uploads/2016/02/1967b210e87b887c9e2a1349ad2bf830-300x169.jpg	C:/PROCESS/PROCESS/www.process.org/discept/wp-content/uploads/2016/02/1967b210e87b887c9e2a1349ad2bf830-300x169.15.delayed	(from https://www.process.org/discept/)
06:12:59	78957/78957	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:39%20GMT	https://www.process.org/discept/2016/02/05/there-is-a-network-of-delusional-witch-hunters-in-the-mental-health-profession-and-we-must-stop-them/	C:/PROCESS/PROCESS/www.process.org/discept/2016/02/05/there-is-a-network-of-delusional-witch-hunters-in-the-mental-health-profession-and-we-must-stop-them/index.html	(from https://www.process.org/discept/)
06:12:59	38581/38581	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:39%20GMT	https://www.process.org/discept/author/doug/	C:/PROCESS/PROCESS/www.process.org/discept/author/doug/index.html	(from https://www.process.org/discept/)
06:13:00	13727/13727	---M--	200	added ('OK')	image/jpeg	etag:%2256b5387e-359f%22	https://www.process.org/discept/wp-content/uploads/2016/02/1967b210e87b887c9e2a1349ad2bf830-300x169.jpg	C:/PROCESS/PROCESS/www.process.org/discept/wp-content/uploads/2016/02/1967b210e87b887c9e2a1349ad2bf830-300x169.jpg	(from https://www.process.org/discept/)
06:13:00	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Nov%202022%2006:11:42%20GMT	http://www.process.org/discept/wp-content/uploads/2015/01/3b46053r.jpg	C:/PROCESS/PROCESS/www.process.org/discept/wp-content/uploads/2015/01/3b46053r.jpg	(from https://www.process.org/discept/)
06:13:01	38875/38875	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:43%20GMT	https://www.process.org/discept/category/abnormal-sociology/	C:/PROCESS/PROCESS/www.process.org/discept/category/abnormal-sociology/index.html	(from https://www.process.org/discept/)
06:13:01	27064/27064	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:43%20GMT	https://www.process.org/discept/category/collective-efforts/	C:/PROCESS/PROCESS/www.process.org/discept/category/collective-efforts/index.html	(from https://www.process.org/discept/)
06:13:01	51823/51823	---M--	200	added ('OK')	image/jpeg	etag:%2254ac2030-ca6f%22	https://www.process.org/discept/wp-content/uploads/2015/01/3b46053r.jpg	C:/PROCESS/PROCESS/www.process.org/discept/wp-content/uploads/2015/01/3b46053r.jpg	(from https://www.process.org/discept/)
06:13:02	38784/38784	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:43%20GMT	https://www.process.org/discept/category/law/	C:/PROCESS/PROCESS/www.process.org/discept/category/law/index.html	(from https://www.process.org/discept/)
06:13:02	38146/38146	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:43%20GMT	https://www.process.org/discept/category/science/	C:/PROCESS/PROCESS/www.process.org/discept/category/science/index.html	(from https://www.process.org/discept/)
06:13:02	1084/1084	---M-Z	200	added ('OK')	application/rss+xml	etag:%223771377e312c51e7feac858a67b03a35-gzip%22	https://www.process.org/discept/2016/02/05/there-is-a-network-of-delusional-witch-hunters-in-the-mental-health-profession-and-we-must-stop-them/feed/	C:/PROCESS/PROCESS/www.process.org/discept/2016/02/05/there-is-a-network-of-delusional-witch-hunters-in-the-mental-health-profession-and-we-must-stop-them/feed/index.html	(from https://www.process.org/discept/)
06:13:03	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Nov%202022%2006:11:45%20GMT	http://www.process.org/discept/wp-content/uploads/2015/01/3b46053r-300x220.jpg	C:/PROCESS/PROCESS/www.process.org/discept/wp-content/uploads/2015/01/3b46053r-300x220.19.delayed	(from https://www.process.org/discept/)
06:13:03	40488/40488	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:44%20GMT	https://www.process.org/discept/2015/01/06/where-the-witch-hunters-are-satanic-panic-and-mental-health-malpractice/	C:/PROCESS/PROCESS/www.process.org/discept/2015/01/06/where-the-witch-hunters-are-satanic-panic-and-mental-health-malpractice/index.html	(from https://www.process.org/discept/)
06:13:04	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Nov%202022%2006:11:46%20GMT	http://www.process.org/discept/wp-content/uploads/2013/11/money-talks-Edited.jpg	C:/PROCESS/PROCESS/www.process.org/discept/wp-content/uploads/2013/11/money-talks-Edited.jpg	(from https://www.process.org/discept/)
06:13:04	23721/23721	---M--	200	added ('OK')	image/jpeg	etag:%2254ac2030-5ca9%22	https://www.process.org/discept/wp-content/uploads/2015/01/3b46053r-300x220.jpg	C:/PROCESS/PROCESS/www.process.org/discept/wp-content/uploads/2015/01/3b46053r-300x220.jpg	(from https://www.process.org/discept/)
06:13:04	37746/37746	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:46%20GMT	https://www.process.org/discept/category/belief-systems/	C:/PROCESS/PROCESS/www.process.org/discept/category/belief-systems/index.html	(from https://www.process.org/discept/)
06:13:05	37452/37452	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:47%20GMT	https://www.process.org/discept/category/bunco/	C:/PROCESS/PROCESS/www.process.org/discept/category/bunco/index.html	(from https://www.process.org/discept/)
06:13:06	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Nov%202022%2006:11:48%20GMT	http://www.process.org/discept/wp-content/uploads/2013/11/money-talks-Edited-259x300.jpg	C:/PROCESS/PROCESS/www.process.org/discept/wp-content/uploads/2013/11/money-talks-Edited-259x300.1d.delayed	(from https://www.process.org/discept/)
06:13:06	136644/136644	---M--	200	added ('OK')	image/jpeg	etag:%22527eda54-215c4%22	https://www.process.org/discept/wp-content/uploads/2013/11/money-talks-Edited.jpg	C:/PROCESS/PROCESS/www.process.org/discept/wp-content/uploads/2013/11/money-talks-Edited.jpg	(from https://www.process.org/discept/)
06:13:06	37517/37517	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:47%20GMT	https://www.process.org/discept/2013/11/09/mental-health-malpractice-cover-up-castlewood-treatment-center-seeks-to-purchase-plaintiff-gag-order/	C:/PROCESS/PROCESS/www.process.org/discept/2013/11/09/mental-health-malpractice-cover-up-castlewood-treatment-center-seeks-to-purchase-plaintiff-gag-order/index.html	(from https://www.process.org/discept/)
06:13:06	997/997	---M-Z	200	added ('OK')	application/rss+xml	etag:%223771377e312c51e7feac858a67b03a35-gzip%22	https://www.process.org/discept/2015/01/06/where-the-witch-hunters-are-satanic-panic-and-mental-health-malpractice/feed/	C:/PROCESS/PROCESS/www.process.org/discept/2015/01/06/where-the-witch-hunters-are-satanic-panic-and-mental-health-malpractice/feed/index.html	(from https://www.process.org/discept/)
06:13:08	28199/28199	---M--	200	added ('OK')	image/jpeg	etag:%22527eda54-6e27%22	https://www.process.org/discept/wp-content/uploads/2013/11/money-talks-Edited-259x300.jpg	C:/PROCESS/PROCESS/www.process.org/discept/wp-content/uploads/2013/11/money-talks-Edited-259x300.jpg	(from https://www.process.org/discept/)
06:13:08	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Nov%202022%2006:11:49%20GMT	http://www.process.org/discept/wp-content/uploads/2013/07/Mammoth-thing-Mind-Control.jpg	C:/PROCESS/PROCESS/www.process.org/discept/wp-content/uploads/2013/07/Mammoth-thing-Mind-Control.jpg	(from https://www.process.org/discept/)
06:13:08	34433/34433	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:49%20GMT	https://www.process.org/discept/category/introspection/	C:/PROCESS/PROCESS/www.process.org/discept/category/introspection/index.html	(from https://www.process.org/discept/)
06:13:08	1085/1085	---M-Z	200	added ('OK')	application/rss+xml	etag:%223771377e312c51e7feac858a67b03a35-gzip%22	https://www.process.org/discept/2013/11/09/mental-health-malpractice-cover-up-castlewood-treatment-center-seeks-to-purchase-plaintiff-gag-order/feed/	C:/PROCESS/PROCESS/www.process.org/discept/2013/11/09/mental-health-malpractice-cover-up-castlewood-treatment-center-seeks-to-purchase-plaintiff-gag-order/feed/index.html	(from https://www.process.org/discept/)
06:13:09	71525/71525	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:50%20GMT	https://www.process.org/discept/2013/07/11/dr-randy-noblitt-satanic-limb-transplants-and-the-music-of-mind-control/	C:/PROCESS/PROCESS/www.process.org/discept/2013/07/11/dr-randy-noblitt-satanic-limb-transplants-and-the-music-of-mind-control/index.html	(from https://www.process.org/discept/)
06:13:09	39491/39491	---M--	200	added ('OK')	image/jpeg	etag:%2251dfadcc-9a43%22	https://www.process.org/discept/wp-content/uploads/2013/07/Mammoth-thing-Mind-Control.jpg	C:/PROCESS/PROCESS/www.process.org/discept/wp-content/uploads/2013/07/Mammoth-thing-Mind-Control.jpg	(from https://www.process.org/discept/)
06:13:10	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Nov%202022%2006:11:52%20GMT	http://www.process.org/discept/wp-content/uploads/2013/07/Mammoth-thing-Mind-Control-198x300.jpg	C:/PROCESS/PROCESS/www.process.org/discept/wp-content/uploads/2013/07/Mammoth-thing-Mind-Control-198x300.21.delayed	(from https://www.process.org/discept/)
06:13:11	29153/29153	---M--	200	added ('OK')	image/jpeg	etag:%2251dfadcc-71e1%22	https://www.process.org/discept/wp-content/uploads/2013/07/Mammoth-thing-Mind-Control-198x300.jpg	C:/PROCESS/PROCESS/www.process.org/discept/wp-content/uploads/2013/07/Mammoth-thing-Mind-Control-198x300.jpg	(from https://www.process.org/discept/)
06:13:12	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Nov%202022%2006:11:54%20GMT	http://www.process.org/discept/wp-content/uploads/2013/06/Sellers-interview.gif	C:/PROCESS/PROCESS/www.process.org/discept/wp-content/uploads/2013/06/Sellers-interview.gif	(from https://www.process.org/discept/)
06:13:12	999/999	---M-Z	200	added ('OK')	application/rss+xml	etag:%223771377e312c51e7feac858a67b03a35-gzip%22	https://www.process.org/discept/2013/07/11/dr-randy-noblitt-satanic-limb-transplants-and-the-music-of-mind-control/feed/	C:/PROCESS/PROCESS/www.process.org/discept/2013/07/11/dr-randy-noblitt-satanic-limb-transplants-and-the-music-of-mind-control/feed/index.html	(from https://www.process.org/discept/)
06:13:12	59430/59430	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Nov%202022%2006:11:54%20GMT	https://www.process.org/discept/2013/06/21/sean-sellers-the-devil-and-death-row/	C:/PROCESS/PROCESS/www.process.org/discept/2013/06/21/sean-sellers-the-devil-and-death-row/index.html	(from https://www.process.org/discept/)
06:13:14	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Nov%202022%2006:11:55%20GMT	http://www.process.org/discept/wp-content/uploads/2013/06/Sellers-interview-300x214.gif	C:/PROCESS/PROCESS/www.process.org/discept/wp-content/uploads/2013/06/Sellers-interview-300x214.gif	(from https://www.process.org/discept/)
